Tipo;Produto;Ano;Quantidade
su_Suco concentrado;Suco de uva concentrado;1973;0
su_Suco de uva adoçado;Suco de uva adoçado;1973;0
su_Suco de uva orgânico;Suco de uva orgânico;1973;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1973;0
DERIVADOS;DERIVADOS;1973;28317919
de_Espumante;Espumante;1973;0
de_Espumante moscatel;Espumante moscatel;1973;0
de_Base espumante;Base espumante;1973;0
de_Base espumante moscatel;Base espumante moscatel;1973;0
de_Base Champenoise champanha;Base Champenoise champanha;1973;0
de_Base Charmat champanha;Base Charmat champanha;1973;0
de_Bebida de uva;Bebida de uva;1973;0
de_Polpa de uva;Polpa de uva;1973;0
de_Mosto simples;Mosto simples;1973;21779327
de_Mosto concentrado;Mosto concentrado;1973;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1973;0
de_Mosto dessulfitado;Mosto dessulfitado;1973;0
de_Mistelas;Mistelas;1973;512900
de_Néctar de uva;Néctar de uva;1973;0
de_Licorosos;Licorosos;1973;176500
de_Compostos;Compostos;1973;1628000
de_Jeropiga;Jeropiga;1973;0
de_Filtrado;Filtrado;1973;0
de_Frisante;Frisante;1973;0
de_Vinho leve;Vinho leve;1973;0
de_Vinho licoroso;Vinho licoroso;1973;0
de_Brandy;Brandy;1973;0
de_Destilado;Destilado;1973;0
de_Bagaceira;Bagaceira;1973;661270
de_Licor de bagaceira;Licor de bagaceira;1973;0
de_Vinagre;Vinagre;1973;0
de_Borra líquida;Borra líquida;1973;3559922
de_Borra seca;Borra seca;1973;0
de_Vinho Composto;Vinho Composto;1973;0
de_Pisco;Pisco;1973;0
de_Vinho orgânico;Vinho orgânico;1973;0
de_Espumante orgânico;Espumante orgânico;1973;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1973;0
de_Vinho acidificado ;Vinho acidificado ;1973;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1973;0
de_Outros derivados;Outros derivados;1973;0
VINHO DE MESA;VINHO DE MESA;1974;193875345
vm_Tinto;Tinto;1974;146544484
vm_Branco;Branco;1974;4138768
vm_Rosado;Rosado;1974;43192093
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1974;31644124
vv_Tinto;Tinto;1974;10047658
vv_Branco;Branco;1974;18927471
vv_Rosado;Rosado;1974;2668995
SUCO;SUCO;1974;0
su_Suco de uva simples;Suco de uva integral;1974;0
su_Suco concentrado;Suco de uva concentrado;1974;0
su_Suco de uva adoçado;Suco de uva adoçado;1974;0
su_Suco de uva orgânico;Suco de uva orgânico;1974;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1974;0
DERIVADOS;DERIVADOS;1974;47904934
de_Espumante;Espumante;1974;0
de_Espumante moscatel;Espumante moscatel;1974;0
de_Base espumante;Base espumante;1974;0
de_Base espumante moscatel;Base espumante moscatel;1974;0
de_Base Champenoise champanha;Base Champenoise champanha;1974;0
de_Base Charmat champanha;Base Charmat champanha;1974;0
de_Bebida de uva;Bebida de uva;1974;0
de_Polpa de uva;Polpa de uva;1974;0
de_Mosto simples;Mosto simples;1974;41346735
de_Mosto concentrado;Mosto concentrado;1974;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1974;0
de_Mosto dessulfitado;Mosto dessulfitado;1974;0
de_Mistelas;Mistelas;1974;826300
de_Néctar de uva;Néctar de uva;1974;0
de_Licorosos;Licorosos;1974;135000
de_Compostos;Compostos;1974;0
de_Jeropiga;Jeropiga;1974;0
de_Filtrado;Filtrado;1974;0
de_Frisante;Frisante;1974;0
de_Vinho leve;Vinho leve;1974;0
de_Vinho licoroso;Vinho licoroso;1974;0
de_Brandy;Brandy;1974;0
de_Destilado;Destilado;1974;0
de_Bagaceira;Bagaceira;1974;424620
de_Licor de bagaceira;Licor de bagaceira;1974;0
de_Vinagre;Vinagre;1974;35300
de_Borra líquida;Borra líquida;1974;5136979
de_Borra seca;Borra seca;1974;0
de_Vinho Composto;Vinho Composto;1974;0
de_Pisco;Pisco;1974;0
de_Vinho orgânico;Vinho orgânico;1974;0
de_Espumante orgânico;Espumante orgânico;1974;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1974;0
de_Vinho acidificado ;Vinho acidificado ;1974;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1974;0
de_Outros derivados;Outros derivados;1974;0
VINHO DE MESA;VINHO DE MESA;1975;177401209
vm_Tinto;Tinto;1975;144274134
vm_Branco;Branco;1975;1441507
vm_Rosado;Rosado;1975;31685568
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1975;39424590
vv_Tinto;Tinto;1975;14731106
vv_Branco;Branco;1975;21933695
vv_Rosado;Rosado;1975;2759789
SUCO;SUCO;1975;0
su_Suco de uva simples;Suco de uva integral;1975;0
su_Suco concentrado;Suco de uva concentrado;1975;0
su_Suco de uva adoçado;Suco de uva adoçado;1975;0
su_Suco de uva orgânico;Suco de uva orgânico;1975;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1975;0
DERIVADOS;DERIVADOS;1975;53633143
de_Espumante;Espumante;1975;0
de_Espumante moscatel;Espumante moscatel;1975;0
de_Base espumante;Base espumante;1975;0
de_Base espumante moscatel;Base espumante moscatel;1975;0
de_Base Champenoise champanha;Base Champenoise champanha;1975;0
de_Base Charmat champanha;Base Charmat champanha;1975;0
de_Bebida de uva;Bebida de uva;1975;0
de_Polpa de uva;Polpa de uva;1975;0
de_Mosto simples;Mosto simples;1975;48185206
de_Mosto concentrado;Mosto concentrado;1975;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1975;0
de_Mosto dessulfitado;Mosto dessulfitado;1975;0
de_Mistelas;Mistelas;1975;223000
de_Néctar de uva;Néctar de uva;1975;0
de_Licorosos;Licorosos;1975;24000
de_Compostos;Compostos;1975;0
de_Jeropiga;Jeropiga;1975;0
de_Filtrado;Filtrado;1975;0
de_Frisante;Frisante;1975;0
de_Vinho leve;Vinho leve;1975;0
de_Vinho licoroso;Vinho licoroso;1975;0
de_Brandy;Brandy;1975;0
de_Destilado;Destilado;1975;0
de_Bagaceira;Bagaceira;1975;576098
de_Licor de bagaceira;Licor de bagaceira;1975;0
de_Vinagre;Vinagre;1975;0
de_Borra líquida;Borra líquida;1975;4624839
de_Borra seca;Borra seca;1975;0
de_Vinho Composto;Vinho Composto;1975;0
de_Pisco;Pisco;1975;0
de_Vinho orgânico;Vinho orgânico;1975;0
de_Espumante orgânico;Espumante orgânico;1975;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1975;0
de_Vinho acidificado ;Vinho acidificado ;1975;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1975;0
de_Outros derivados;Outros derivados;1975;0
VINHO DE MESA;VINHO DE MESA;1976;144565438
vm_Tinto;Tinto;1976;118360170
vm_Branco;Branco;1976;1871473
vm_Rosado;Rosado;1976;24333795
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1976;34500590
vv_Tinto;Tinto;1976;12405154
vv_Branco;Branco;1976;19874659
vv_Rosado;Rosado;1976;2220777
SUCO;SUCO;1976;0
su_Suco de uva simples;Suco de uva integral;1976;0
su_Suco concentrado;Suco de uva concentrado;1976;0
su_Suco de uva adoçado;Suco de uva adoçado;1976;0
